,method,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_LOC,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_TS,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_LOC,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_II_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_II_TS,REMOVING_TAUTOLOGIES_OF_LOC,REMOVING_TAUTOLOGIES_OF_TS,REMOVING_CONTRADICTIONS_OF_LOC,REMOVING_CONTRADICTIONS_OF_TS,PRUNING_USELESS_CLAUSES_OF_LOC,PRUNING_USELESS_CLAUSES_OF_TS,REMOVING_DEAD_ASSIGNMENTS_OF_LOC,REMOVING_DEAD_ASSIGNMENTS_OF_TS,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_TS,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_TS,REMOVING_LOCALS_OF_LOC,REMOVING_LOCALS_OF_TS,REMOVING_SPEC_PUBLIC_OF_LOC,REMOVING_SPEC_PUBLIC_OF_TS,DOING_BACKWARDS_PROPAGATION_OF_LOC,DOING_BACKWARDS_PROPAGATION_OF_TS,SIMPLIFYING_LABELS_OF_LOC,SIMPLIFYING_LABELS_OF_TS,REMOVING_DUPLICATE_ASSIGNMENTS_OF_LOC,REMOVING_DUPLICATE_ASSIGNMENTS_OF_TS,FIXING_RESULTS_LOC,FIXING_RESULTS_TS,CLEANING_PRESTATE_ASSIGNABLES_LOC,CLEANING_PRESTATE_ASSIGNABLES_TS,REMOVING_USELESS_POSTCONDITIONS_LOC,REMOVING_USELESS_POSTCONDITIONS_TS,PRUNING_USELESS_CLAUSES_II_OF_LOC,PRUNING_USELESS_CLAUSES_II_OF_TS,ADDING_PURITY_LOC,ADDING_PURITY_TS,REDUCTION_ANALYSIS_LOC,REDUCTION_ANALYSIS_TS
52,org.json.JSONObject.JSONObject(java.lang.Object),-1,-1,-1,-1,19,3,19,3,19,0,19,0,19,0,19,102,19,3,19,0,16,0,16,0,16,0,16,0,13,0,13,0,11,0,4,0,4,0,4,0,-1,-1
53,org.json.JSONObject.JSONObject(java.lang.String),-1,-1,-1,-1,641,92,641,92,641,2,641,1,641,1,641,142,641,71,641,1,576,2,576,1,576,1,576,0,440,0,440,3,408,1,4,0,4,0,4,0,-1,-1
54,org.json.JSONObject.getNames(org.json.JSONObject),-1,-1,-1,-1,6058,2996,6058,2996,5093,9,925,3,645,1,645,297,645,4967,645,0,508,4,508,1,508,1,508,0,288,3,287,65,169,1,6,1,6,0,6,0,6,0
55,org.json.JSONObject.getNames(java.lang.Object),-1,-1,-1,-1,58,13,58,13,48,0,48,0,48,0,48,183,48,18,48,0,35,1,35,0,35,0,35,0,29,0,28,2,17,1,17,0,17,0,17,0,15,0
56,org.json.JSONObject.has(java.lang.String),-1,-1,-1,-1,17,1,17,1,17,0,17,0,17,0,17,92,17,2,17,0,14,0,14,0,14,1,14,0,14,0,14,0,12,0,4,0,4,0,4,0,-1,-1
57,org.json.JSONObject.length(),-1,-1,-1,-1,10,0,10,0,10,0,10,0,10,0,10,90,10,4,10,0,8,1,8,0,8,0,8,1,6,0,6,0,4,0,4,1,4,0,4,0,4,1
58,org.json.JSONObject.opt(java.lang.String),-1,-1,-1,-1,27,13,27,13,27,1,27,0,27,0,27,453,27,13,27,0,23,0,23,0,23,0,23,1,23,0,23,1,19,0,5,0,5,0,5,1,5,0
59,"org.json.JSONObject.optBigDecimal(java.lang.String,java.math.BigDecimal)",-1,-1,-1,-1,82,105,82,105,82,1,82,0,82,0,82,685,82,67,82,0,77,1,77,0,77,0,77,1,39,0,39,1,28,0,28,0,28,0,28,0,19,1
60,org.json.JSONObject.optJSONObject(java.lang.String),-1,-1,-1,-1,37,35,37,35,37,0,37,1,37,0,37,446,37,9,37,0,32,1,32,0,32,0,32,0,20,0,20,1,12,0,4,0,4,0,4,0,-1,-1
61,"org.json.JSONObject.optLong(java.lang.String,long)",-1,-1,-1,-1,101,100,101,100,101,1,101,1,101,0,101,923,101,77,101,0,96,2,96,0,96,0,96,0,53,1,53,3,37,1,4,3,4,0,4,0,-1,-1
62,org.json.JSONObject.remove(java.lang.String),-1,-1,-1,-1,25,14,25,14,25,0,25,1,25,0,25,523,25,21,25,0,22,0,22,0,22,0,22,0,16,0,16,2,12,0,4,0,4,0,4,1,-1,-1
63,org.json.JSONObject.write(java.io.Writer),-1,-1,-1,-1,11,7,11,7,11,0,11,0,11,1,11,459,11,3,11,0,9,0,9,0,9,0,9,1,9,0,9,0,7,0,7,0,7,0,7,0,7,0
64,"org.json.JSONObject.indent(java.io.Writer,int)",-1,-1,-1,-1,8,1,8,1,8,0,8,0,8,0,8,72,8,2,8,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
65,org.json.Cookie.Cookie(),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
